# ltrace -x '*' -o ltrace.txt -f -S -s 1024 ./squashfs-root/usr/bin/magick identify -define video:pixel-format='canary123' example.mov
4064738 SYS_brk(0)                                                                                                    = 0x6526bc97d000
4064738 SYS_mmap(0, 8192, 3, 34)                                                                                      = 0x78e67ef8a000
4064738 SYS_readlinkat(0xffffff9c, 0x78e67efba1c3, 0x7ffda43b27a0, 4096)                                              = 41
4064738 SYS_access("/etc/ld.so.preload", 04)                                                                          = -2
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2ce0, 0x80000, 0)                                                            = -2
4064738 SYS_newfstatat(0xffffff9c, 0x7ffda43b2ce0, 0x7ffda43b2dc0, 0)                                                 = -2
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2ce0, 0x80000, 0)                                                            = -2
4064738 SYS_newfstatat(0xffffff9c, 0x7ffda43b2ce0, 0x7ffda43b2dc0, 0)                                                 = -2
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2ce0, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_pread(3, 0x7ffda43b2ac0, 448, 0x5db000)                                                                   = 448
4064738 SYS_fstat(3, 0x7ffda43b2dc0)                                                                                  = 0
4064738 SYS_pread(3, 0x7ffda43b2b60, 448, 0x5db000)                                                                   = 448
4064738 SYS_mmap(0, 0xa040a0, 0, 2082)                                                                                = 0x78e67e400000
4064738 SYS_mmap(0x78e67e400000, 0x8040a0, 5, 2066)                                                                   = 0x78e67e400000
4064738 SYS_munmap(0x78e67ec05000, 2093216)                                                                           = 0
4064738 SYS_mprotect(0x78e67e96c000, 2682880, 0)                                                                      = 0
4064738 SYS_mmap(0x78e67eb6b000, 0x6f000, 3, 2066)                                                                    = 0x78e67eb6b000
4064738 SYS_mmap(0x78e67ebda000, 0x209d0, 3, 50)                                                                      = 0x78e67ebda000
4064738 SYS_mmap(0x78e67ebfb000, 0xa000, 3, 2066)                                                                     = 0x78e67ebfb000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2cc0, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_pread(3, 0x7ffda43b2aa0, 448, 0x251000)                                                                   = 448
4064738 SYS_fstat(3, 0x7ffda43b2da0)                                                                                  = 0
4064738 SYS_pread(3, 0x7ffda43b2b40, 448, 0x251000)                                                                   = 448
4064738 SYS_mmap(0, 0x655fa0, 0, 2082)                                                                                = 0x78e67dc00000
4064738 SYS_mmap(0x78e67dc00000, 0x455fa0, 5, 2066)                                                                   = 0x78e67dc00000
4064738 SYS_munmap(0x78e67e056000, 2097056)                                                                           = 0
4064738 SYS_mprotect(0x78e67de4f000, 2105344, 0)                                                                      = 0
4064738 SYS_mmap(0x78e67e04e000, 0x3000, 3, 2066)                                                                     = 0x78e67e04e000
4064738 SYS_mmap(0x78e67e051000, 0x5000, 3, 2066)                                                                     = 0x78e67e051000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2cb0, 0x80000, 0)                                                            = -2
4064738 SYS_openat(0xffffff9c, 0x78e67efba38f, 0x80000, 0)                                                            = 3
4064738 SYS_fstat(3, 0x7ffda43b2cb0)                                                                                  = 0
4064738 SYS_mmap(0, 0x8f7b, 1, 2)                                                                                     = 0x78e67ef81000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x78e67ef8ad60, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001\003", 832)                                                                   = 832
4064738 SYS_pread(3, 0x7ffda43b2b00, 784, 64)                                                                         = 784
4064738 SYS_fstat(3, 0x7ffda43b2d80)                                                                                  = 0
4064738 SYS_pread(3, 0x7ffda43b29d0, 784, 64)                                                                         = 784
4064738 SYS_mmap(0, 0x211d90, 1, 2050)                                                                                = 0x78e67d800000
4064738 SYS_mmap(0x78e67d828000, 0x188000, 5, 2066)                                                                   = 0x78e67d828000
4064738 SYS_mmap(0x78e67d9b0000, 0x4f000, 1, 2066)                                                                    = 0x78e67d9b0000
4064738 SYS_mmap(0x78e67d9ff000, 0x6000, 3, 2066)                                                                     = 0x78e67d9ff000
4064738 SYS_mmap(0x78e67da05000, 0xcd90, 3, 50)                                                                       = 0x78e67da05000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2c90, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_pread(3, 0x7ffda43b2a70, 448, 0xf000)                                                                     = 448
